category,upc,product_type,brand_name,generic_name,manufacturer_name,label_id,label_version,label_effective_time,purpose,indications_and_usage,active_ingredient,inactive_ingredient,dosage_and_administration,warnings
skin,8809630420125,HUMAN OTC DRUG,DR.PLINUS FILLINCELL MULTI,"SODIUM HYALURONATE, NIACINAMIDE, ADENOSINE","S Skin Co., Ltd.",961cd961-0de1-4f65-b4de-d4e02be48fa9,1,2021-05-25,PURPOSE Moisture Skin Brightening Anti wrinkle,uses ■ helps moisturize your skin ■ helps brighten skin tone ■ helps improve wrinkle problem,ACTIVE INGREDIENTS Sodium Hyaluronate 70.05% Niacinamide 2.45% Adenosine 0.08%,"INACTIVE INGREDIENTS Water, Propanediol, Glycerin, Butylene Glycol, Diglucosyl Gallic Acid, Hydrolyzed Vegetable Protein, Adenosine Triphosphate, Sodium Chondroitin Sulfate, Anogeissus Leiocarpus Bark Extract, Epigallocatechin Gallatyl Glucoside","Directions ① Before using the patch, wash your face. ② Open the pouch and take the patches out from the clear case, and remove the protective films on patch (* one by one. At this point, be careful not to touch the middle part of the patch.) ③ Adjust the patches on your face where you concern and press lightly at a right angle. ④ Attach the patch above at least 60 minutes.","WARNINGS 1. Discontinue to use or consult with dermatologist if irritation, swelling or itching appears after applying the product 2. Avoid applying patches on the wounded, dermatitis, and inflamed skin parts 3. Safety and storage precautions A) Keep out of children's reach B) Keep away from direct sunlight C) Use immediately after opening D) Do not reuse the patch you have already attached once E) For external use only"
cough,363113701234,HUMAN OTC DRUG,Lymphastat,"BAPTISIA TINCTORIA, ECHINACEA (ANGUSTIFOLIA), LOBELIA INFLATA, LOMATIUM DISSECTUM, HYDRASTIS CANADENSIS, LUNG (SUIS), PHYTOLACCA DECANDRA, SYMPHYTUM OFFICINALE, ACONITUM NAPELLUS, ARSENICUM ALBUM, BELLADONNA, BRYONIA (ALBA), CAUSTICUM, EUPATORIUM PERFOLIATUM, FERRUM PHOSPHORICUM, GELSEMIUM SEMPERVIRENS, HYPERICUM PERFORATUM, KALI CARBONICUM, LACHESIS MUTUS, NATRUM SULPHURICUM, PHOSPHORUS, PULSATILLA (PRATENSIS), RHUS TOX, SILICEA, SULPHUR, PYROGENIUM","Energique, Inc.",d831f1eb-72a2-4704-97c6-56e3ed67917a,1,2021-05-25,"INDICATIONS: May temporarily relieve symptoms associated with viral and bacterial infections, such as fever, irritated throat, and cough with tickle in the throat.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.","indications: may temporarily relieve symptoms associated with viral and bacterial infections, such as fever, irritated throat, and cough with tickle in the throat.** **claims based on traditional homeopathic practice, not accepted medical evidence. not fda evaluated.","ACTIVE INGREDIENTS: (in each drop): 4.53% of Hydrastis Canadensis 6X, Lung (Suis) 6X, Phytolacca Decandra 6X, Symphytum Officinale 6X; Aconitum Napellus 12X, Arsenicum Album 12X, Belladonna 12X, Bryonia 12X, Causticum 12X, Eupatorium Perfoliatum 12X, Ferrum Phosphoricum 12X, Gelsemium Sempervirens 12X, Hypericum Perforatum 12X, Kali Carbonicum 12X, Lachesis Mutus 12X, Natrum Sulphuricum 12X, Phosphorus 12X, Pulsatilla (Pratensis) 12X, Rhus Tox 12X, Silicea 12X, Sulphur 12X; Pyrogenium 30X. 0.10% of Baptisia Tinctoria 3X, Echinacea (Angustifolia) 3X, Lobelia Inflata 3X, Lomatium Dissectum 3X.","INACTIVE INGREDIENTS: Demineralized water, 20% Ethanol.","DIRECTIONS: Adults and children 5 to 10 drops orally, 3 times daily or as otherwise directed by a health care professional. If symptoms persist for more than 2 days, consult your health care professional. Consult a physician for use in children under 12 years of age.","WARNINGS: If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
skin,705632085943,HUMAN OTC DRUG,EPHYREL,SKIN PROTECTANT AND CLEANSING,CONTRAD SWISS SA,c3287546-5abc-5c99-e053-2a95a90ae29d,4,2021-05-25,PURPOSE Skin Protectant,"uses temporarily protects and helps relieve minor skin irritation intimate cleanser with protective, moisturizing and soothing action","ACTIVE INGREDIENTS Glycerine 2,5%","INACTIVE INGREDIENTS Acrylates/Vinyl isodecanoate crosspolymer, Aqua, Butylene Glycol, Caprylhydroxamic acid, Cocamidopropyl betaine, Disodium Laureth Sulfosuccinate, Fucus Vesiculosus Extract, Gluconolactone, Hydroxyphenyl propamidobenzoic acid, Lactic Acid, Maltodextrin, Parfum, Pentylene glycol, Phenethyl Alcohol, Sodium Hyaluronate, Silica, Sodium Hydroxide, Tetrasodium EDTA",DIRECTIONS Apply as needed. Children under 6 months: ask a doctor Apply a small quantity of product (press twice on the dispenser) on wet skin and gently massage. Rinse off and dry carefully,"WARNINGS For External Use Only Avoid contact with eyes Stop use and ask doctor if Condition Worsens Symptoms last more than 7 days Keep out of reach of children. f swallowed, get medical help or contact a Poison Control Center right away. Keep Out Reach of Children"
cough,363113700046,HUMAN OTC DRUG,Genstat,"AESCULUS HIPPOCASTANUM, EQUISETUM HYEMALE, FUMARIA OFFICINALIS, HYDROCOTYLE ASIATICA, OLEUM OLEA EUROPAEA, PASSIFLORA INCARNATA, RIBES NIGRUM, SOLIDAGO VIRGAUREA, ONONIS SPINOSA","Energique, Inc.",1b79ff51-d18c-4a5e-9a8f-e4b9a7e2d5eb,2,2021-05-25,"INDICATIONS: May temporarily relieve symptoms associated with general toxicity, such as the sudden desire to urinate, weakness and fatigue, increased mucus leading to cough or hoarseness, abdominal bloating, constipation alternating with diarrhea, muscle stiffness, soreness and pain.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.","indications: may temporarily relieve symptoms associated with general toxicity, such as the sudden desire to urinate, weakness and fatigue, increased mucus leading to cough or hoarseness, abdominal bloating, constipation alternating with diarrhea, muscle stiffness, soreness and pain.** **claims based on traditional homeopathic practice, not accepted medical evidence. not fda evaluated.","ACTIVE INGREDIENTS: (in each drop): 11.11% of Aesculus Hippocastanum 6X, Equisetum Hyemale 6X, Fumaria Officinalis 6X, Hydrocotyle Asiatica 6X, Oleum Olea Europaea 6X, Ononis Spinosa 14C, Passiflora Incarnata 6X, Ribes Nigrum 7X, Solidago Virgaurea 6X.","INACTIVE INGREDIENTS: Citric acid, Demineralized water, Magnesium chloride, Potassium sorbate",DIRECTIONS: 4 to 5 droppersful in a glass of juice before breakfast.,"WARNINGS: If pregnant or breastfeeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
acne,183757004238,HUMAN OTC DRUG,Clarisonic Pore and Blemish Cleanser Acne Treatment,SALICYLIC ACID,"Pacific Bioscience Laboratories, Inc.",51d3e4eb-e6e1-4a9c-95ba-f22915e2bfa7,3,2021-05-25,Purpose Acne treatment,uses for the treatment of acne,Active ingredient Salicylic acid 2%,"Inactive ingredients water, sodium laureth sulfate, decyl glucoside, glycerin, sodium chloride, coco-betaine, PEG-150 pentaerythrityl tetrastearate, PEG-6 caprylic/capric glycerides, zinc gluconate, sodium hydroxide, sodium benzoate, tetrasodium EDTA, capryloyl salicylic acid, citric acid, menthol, hexylene glycol, polyquaternium-47","Directions apply directly to moistened skin or to a damp Clarisonic skin cleansing brush massage onto face, avoiding the eye area rinse thoroughly",Warnings For external use only
cough,363113701227,HUMAN OTC DRUG,Histatone,"ALLIUM SATIVUM, BAPTISIA TINCTORIA, ECHINACEA (ANGUSTIFOLIA), ALLIUM CEPA, AMBROSIA ARTEMISIAEFOLIA, ARSENICUM ALBUM, PHOSPHORUS, PULSATILLA (PRATENSIS), SOLIDAGO VIRGAUREA","Energique, Inc.",7f65ee13-f950-4b9c-baff-20ea1e717186,1,2021-05-25,"INDICATIONS: For temporary relief of hay fever, sinus, cough, bronchial irritation, itching and burning.** **These statements are based upon traditional homeopathic practice. They have not been reviewed by the Food and Drug Administration.","indications: for temporary relief of hay fever, sinus, cough, bronchial irritation, itching and burning.** **these statements are based upon traditional homeopathic practice. they have not been reviewed by the food and drug administration.","ACTIVE INGREDIENTS: (in each drop): 16.62% of Allium Cepa 12X, Ambrosia Artemisiaefolia 12X, Arsenicum Album 12X, Phosphorus 12X, Pulsatilla (Pratensis) 12X, Solidago Virgaurea 12X; 0.10% of Allium Sativum 3X, Baptisia Tinctoria 3X, Echinacea (Angustifolia) 3X.","INACTIVE INGREDIENTS: Demineralized water, 20% Ethanol","DIRECTIONS: Adults and children 5 to 10 drops orally, 3 times daily or as otherwise directed by a health care professional. If symptoms persist, consult your health care professional. Consult a physician for use in children under 12 years of age.","WARNINGS: If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
skin,363113700718,HUMAN OTC DRUG,Derma Rash HP,"ARSENICUM ALBUM, CALCAREA CARBONICA, GRAPHITES, MERCURIUS SOLUBILIS, MEZEREUM, PETROLEUM, RHUS TOX, SEPIA, SULPHUR","Energique, Inc.",7e0220b3-c8e4-4dc7-a343-8026972e8574,1,2021-05-24,"INDICATIONS: May temporarily relieve symptoms due to skin irritation and chronic skin eruptions.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.","indications: may temporarily relieve symptoms due to skin irritation and chronic skin eruptions.** **claims based on traditional homeopathic practice, not accepted medical evidence. not fda evaluated.","ACTIVE INGREDIENTS: (in each drop): 11.11% of Arsenicum Album 30X, Calcarea Carbonica 30X, Graphites 30X, Mercurius Solubilis 30X, Mezereum 30X, Petroleum 30X, Rhus Tox 30X, Sepia 30X, Sulphur 30X.","INACTIVE INGREDIENTS: Demineralized water, 20% Ethanol.","DIRECTIONS: Adults and children 5 to 10 drops orally, 3 times daily or as otherwise directed by a health care professional. If symptoms persist for more than 7 days, consult your health care professional. Consult a physician for use in children under 12 years of age.","WARNINGS: If pregnant or breastfeeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
skin,363113700015,HUMAN OTC DRUG,DERMATOME STAT,"ASTRAGALUS MEMBRANACEUS, ECHINACEA (ANGUSTIFOLIA), HYPERICUM PERFORATUM, HYDRASTIS CANADENSIS, DULCAMARA, GELSEMIUM SEMPERVIRENS, NITRICUM ACIDUM, RANUNCULUS BULBOSUS, THUJA OCCIDENTALIS","Energique, Inc.",8c83f401-3fee-4469-83af-c9b34a4b7b0c,1,2021-05-24,"INDICATIONS: May temporarily relieve aches, pains, febrile conditions, and painful skin lesions associated with infections.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.","indications: may temporarily relieve aches, pains, febrile conditions, and painful skin lesions associated with infections.** **claims based on traditional homeopathic practice, not accepted medical evidence. not fda evaluated.","ACTIVE INGREDIENTS: (in each drop): 16.62% of Dulcamara 12X, Gelsemium Sempervirens 12X, Hydrastis Canadensis 6X, Nitricum Acidum 12X, Ranunculus Bulbosus 12X, Thuja Occidentalis 12X; 0.10% of Astragalus Membranaceus 3X, Echinacea (Angustifolia) 3X, Hypericum Perforatum 3X.","INACTIVE INGREDIENTS: Demineralized water, 20% Ethanol","DIRECTIONS: Adults and children 5 to 10 drops orally, 3 times daily or as otherwise directed by a health care professional. If symptoms persist for more than 7 days, consult your health care professional. Consult a physician for use in children under 12 years of age.","WARNINGS: If pregnant or breastfeeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
skin,862011000208,HUMAN OTC DRUG,Oatmeal,OATMEAL,Mass Management LLC,03017e90-795c-4a26-aca5-e776d542b270,1,2021-05-24,Purpose - Skin Protectant,use - temporarily protects and helps relieve minor skin irritation and itching due to insect bites.,Active Ingredients - Colloidal Oatmeal 0.10%,"Inactive Ingredients - Kaolin, TEA, Water",Directions - Remove Stinger From Bite Area - Apply As Needed.,Warnings For External Use Only Do Not Use If You Are Allergic To Any Of The Ingredients.
skin,363113500448,HUMAN OTC DRUG,Vermiclear,"GRANATUM, RHAMNUS PURSHIANA, JUGLANS REGIA, FILIX MAS, ABSINTHIUM, AESCULUS HIPPOCASTANUM, ARSENICUM ALBUM, BAPTISIA TINCTORIA, CINA, CUPRUM METALLICUM, IPECACUANHA, LYCOPODIUM CLAVATUM, MERCURIUS VIVUS, NUX VOMICA, PULSATILLA (VULGARIS), RATANHIA, RHUS TOX, SABADILLA, SANTONINUM, SILICEA, SPIGELIA ANTHELMIA, TEREBINTHINA, TEUCRIUM MARUM","Energique, Inc.",654ef115-e340-407a-b5aa-13ed87896d20,1,2021-05-21,"INDICATIONS: May temporarily relieve symptoms of conditions related to parasite and worm infestation, such as skin and intestinal disorders, itching, bloating, fatigue, and tendency to catch colds.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.","indications: may temporarily relieve symptoms of conditions related to parasite and worm infestation, such as skin and intestinal disorders, itching, bloating, fatigue, and tendency to catch colds.** **claims based on traditional homeopathic practice, not accepted medical evidence. not fda evaluated.","ACTIVE INGREDIENTS: (in each drop): 4.99% of Absinthium 15X, Aesculus Hippocastanum 15X, Arsenicum Album 15X, Baptisia Tinctoria 15X, Cina 15X, Cuprum Metallicum 15X, Filix Mas 7X, Ipecacuanha 15X, Lycopodium Clavatum 15X, Mercurius Vivus 15X, Nux Vomica 15X, Pulsatilla (Vulgaris) 15X, Ratanhia 15X, Rhus Tox 15X, Sabadilla 15X, Santoninum 15X, Silicea 15X, Spigelia Anthelmia 15X,Terebinthina 15X, Teucrium Marum 15X; 0.10% of Granatum 3X, Juglans Regia 5X, Rhamnus Purshiana 3X.","INACTIVE INGREDIENTS: Demineralized water, 20% Ethanol.","DIRECTIONS: Adults: 30 drops (1/2 tsp.) under the tongue, 2 times daily on an empty stomach. Children under 12: 6 drops under the tongue, 3 times daily on an empty stomach. Initial course is 4 weeks. For maintenance, take for 2 weeks every 6 months or as directed by a health care professional. If symptoms persist for more than 7 days, contact your health care professional. Consult a physician for use in children under 12 years of age.","WARNINGS: If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose get medical help or contact a Poison Control Center right away. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
