upc,product_type,brand_name,generic_name,manufacturer_name,label_id,label_version,label_effective_time,purpose,indications_and_usage,active_ingredient,inactive_ingredient,dosage_and_administration,warnings,category
703558833587,HUMAN OTC DRUG,BIORLX LIP BALM COLLAGEN,"AVOBENZONE, MINERAL OIL, OCTINOXATE, PETROLATUM, ZINC OXIDE",LOTUSA LLC.,af99febf-b528-3038-e053-2a95a90a641d,1,2020-09-18,"Purpose Sunscreen, Skin protectant, Lip Balm",Use Helps prevent sunburn if use as directed with other sun protection measures. provides moderate protection against sunburn Helps temporarily protect chapped and cracked lips.,Active Ingredient(s) Avobenzone 1.0% w/w Sunscreen Mineral Oil 30.0% w/w Skin protectant Octinoxate 6.0% w/w Sunscreen Petrolatum 30.0% w/w Skin protectant Zinc Oxide 6.0% w/w Sunscreen,"Inactive ingredients Aloe Barbadensis (Alove Vera) Leaf Juice, Beeswax, Butyrpsoermum (Shea) Parkii Butter, Caprylic/ Capric Triglyceride, Ceresin, Collagen, Microcrystalline Wax, Potassium Sorbate, Tocopherol","Directions Apply as needed. Apply liberally 15 minutes before sun exposure. Reapply after 60 minutes of swimming or sweatig, immediately after towel drying at leaft every 2 hours. For best results use daily.",Warnings For external use only.,skin protectant
369230305805,HUMAN OTC DRUG,Naproxen Sodium,NAPROXEN SODIUM,Camber Consumer Care,0dc37293-4161-4592-ab55-7e83d86b9ea2,2,2020-10-20,Purposes Pain reliever/fever reducer,Uses temporarily relieves minor aches and pains due to: minor pain of arthritis muscular aches backache menstrual cramps headache toothache the common cold temporarily reduces fever,Active ingredient (in each capsule) Naproxen sodium 220 mg (naproxen 200 mg) (NSAID)* *nonsteroidal anti-inflammatory drug,"Inactive ingredients FD&C blue #1, gelatin, glycerin, lactic acid,lecithin, light mineral oil, n-butyl alcohol, polyethylene glycol, povidone, propylene glycol, purified water, shellac glaze, sorbitan sorbitol solution,titanium dioxide, white ink","Directions do not take more than directed the smallest effective dose should be used drink a full glass of water with each dose if taken with food, this product may take longer to work adults and children 12 years and older: take 1 capsule every 8 to 12 hours while symptoms last for the first dose you may take 2 capsules within the first hour do not exceed 2 capsules in any 8- to 12-hour period do not exceed 3 capsules in a 24-hour period children under 12 years: ask a doctor","Warnings Allergy alert: Naproxen sodium may cause a severe allergic reaction, especially in people allergic to aspirin. Symptoms may include: hives facial swelling asthma (wheezing) shock skin reddening rash blisters If an allergic reaction occurs, stop use and seek medical help right away. Stomach bleeding warning: This product contains an NSAID, which may cause severe stomach bleeding. The chance is higher if you: are age 60 or older have had stomach ulcers or bleeding problems take a blood thinning (anticoagulant) or steroid drug have 3 or more alcoholic drinks every day while using this product take other drugs containing prescription or nonprescription NSAIDs (aspirin, ibuprofen, naproxen, or others) take more or for a longer time than directed Heart attack and stroke warning: NSAIDs, except aspirin, increase the risk of heart attack, heart failure, and stroke. These can be fatal. The risk is higher if you use more than directed or for longer than directed Do not use if you have ever had an allergic reaction to any other pain reliever/fever reducer right before or after heart surgery Ask a doctor before use if the stomach bleeding warning applies to you you have a history of stomach problems, such as heartburn you have high blood pressure, heart disease, liver cirrhosis, or kidney disease asthma, or had a stroke you are taking a diuretic you have problems or serious side effects from taking pain relievers or fever reducers Ask a doctor or pharmacist before use if you are under a doctor’s care for any serious condition taking any other drug When using this product take with food or milk if stomach upset occurs Stop use and ask a doctor if you experience any of the following signs of stomach bleeding: feel faint have bloody or black stools vomit blood have stomach pain that does not get better you have symptoms of heart problems or stroke: chest pain slurred speech leg swelling trouble breathing weakness in one part or side of body pain gets worse or lasts more than 10 days fever gets worse or lasts more than 3 days redness or swelling is present in the painful area any new symptoms appear you have difficulty swallowing it feels like the capsule is stuck in your throat If pregnant or breast-feeding, ask a health professional before use. It is especially important not to use naproxen sodium during the last 3 months of pregnancy unless definitely directed to do so by a doctor because it may cause problems in the unborn child or complications during delivery. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222)",pain reliever
341520310508,HUMAN OTC DRUG,Ibuprofen,IBUPROFEN,"RETAIL BUSINESS SERVICES , LLC.",af106c99-05b3-21b9-e053-2995a90ab96c,2,2020-09-11,Purpose Pain reliever/fever reducer,Uses temporarily relieves minor aches and pains due to: headache toothache backache menstrual cramps the common cold muscular aches minor pain of arthritis temporarily reduces fever,Active ingredient (in each caplet) Ibuprofen 200 mg (NSAID)* * nonsteroidal anti-inflammatory drug,"Inactive ingredients colloidal silicon dioxide, corn starch, iron oxide red, polyethylene glycol, polyvinyl alcohol, povidone K30, pregelatinized starch, sodium starch glycolate, stearic acid, talc, titanium dioxide","Directions ■ do not take more than directed ■ the smallest effective dose should be used ■ adults and children 12 years and over: ■ take 1 caplet every 4 to 6 hours while symptoms persist ■ if pain or fever does not respond to 1 caplet, 2 caplets may be used ■ do not exceed 6 caplets in 24 hours, unless directed by a doctor ■ children under 12 years: ask a doctor","Warnings Allergy alert Ibuprofen may cause a severe allergic reaction, especially in people allergic to aspirin. Symptoms may include: hives facial swelling asthma (wheezing) shock skin reddening rash blisters If an allergic reaction occurs, stop use and seek medical help right away. Stomach bleeding warning This product contains an NSAID, which may cause severe stomach bleeding. The chance is higher if you: are age 60 or older have had stomach ulcers or bleeding problems take a blood thinning (anticoagulant) or steroid drug take other drugs containing prescription or nonprescription NSAIDs (aspirin, ibuprofen, naproxen, or others) have 3 or more alcoholic drinks every day while using this product take more or for a longer time than directed Heart attack and stroke warning NSAIDs, except aspirin, increase the risk of heart attack, heart failure, and stroke. These can be fatal. The risk is higher if you use more than directed or for longer than directed. Do not use if you have ever had an allergic reaction to any other pain reliever/fever reducer right before or after heart surgery Ask a doctor before use if stomach bleeding warning applies to you you have problems or serious side effects from taking pain relievers or fever reducers you have a history of stomach problems, such as heartburn you have high blood pressure, heart disease, liver cirrhosis, kidney disease, asthma, or had a stroke you are taking a diuretic Ask a doctor or pharmacist before use if you are under a doctor's care for any serious condition taking aspirin for heart attack or stroke, because ibuprofen may decrease this benefit of aspirin taking any other drug When using this product take with food or milk if stomach upset occurs Stop use and ask a doctor if ■ side effects occur. You may report side effects to FDA at 1-800-FDA-1088. ■ you experience any of the following signs of stomach bleeding: ■ feel faint ■ vomit blood ■ have bloody or black stools ■ have stomach pain that does not get better ■ you have symptoms of heart problems or stroke: ■ chest pain ■ trouble breathing ■ weakness in one part or side of body ■ slurred speech ■ leg swelling ■ pain gets worse or lasts more than 10 days ■ fever gets worse or lasts more than 3 days ■ redness or swelling is present in the painful area ■ any new symptoms appear If pregnant or breast-feeding, ask a health professional before use. It is especially important not to use ibuprofen during the last 3 months of pregnancy unless definitely directed to do so by a doctor because it may cause problems in the unborn child or complications during delivery. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away (1-800-222-1222).",pain reliever
350844663023,HUMAN OTC DRUG,Sinus and Congestion Relief Daytime,"ACETAMINOPHEN, PHENYLEPHRINE HCL","L.N.K. International, Inc.",3ddd55ea-f7f3-4982-b630-c1a3f15aeea5,5,2020-07-07,Purpose Pain reliever/fever reducer Nasal decongestant,"Uses temporarily relieves these symptoms associated with hay fever or other upper respiratory allergies, and the common cold: sinus congestion and pressure fever nasal congestion headache minor aches and pains",Active ingredients (in each liquid-filled capsule) Acetaminophen 325 mg Phenylephrine HCl 5 mg,"Inactive ingredients edible white ink, FD&C yellow #6, gelatin, glycerin, lecithin, mineral oil, polyethylene glycol, povidone, propylene glycol, purified water, sorbitol",Directions take only as directed do not exceed 4 doses per 24 hours adults and children 12 years and over: 2 capsules with water every 4 hours children under 12 years: ask a doctor,"Warnings Liver warning: This product contains acetaminophen. Severe liver damage may occur if you take: more than 4,000 mg in 24 hours, which is the maximum daily amount with other drugs containing acetaminophen 3 or more alcoholic drinks every day while using this product Allergy alert: Acetaminophen may cause severe skin reactions. Symptoms may include: blisters rash skin reddening If a skin reaction occurs, stop use and seek medical help right away. Do not use with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. if you are now taking prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. if you have ever had an allergic reaction to this product or any of its ingredients Ask a doctor before use if you have liver disease diabetes heart disease thyroid disease high blood pressure difficulty in urination due to enlargement of the prostate gland Ask a doctor or pharmacist before use if you are taking the blood thinning drug warfarin. When using this product do not exceed recommended dosage. Stop use and ask a doctor if redness or swelling is present new symptoms occur nervousness, dizziness, or sleeplessness occur pain or nasal congestion gets worse or lasts more than 7 days fever gets worse or lasts more than 3 days If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of accidental overdose, get medical help or contact a Poison Control Center (1-800-222-1222) right away. Prompt medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms.",pain reliever
72036735294,HUMAN OTC DRUG,Arthritis Pain Reliever,DICLOFENAC SODIUM,"Harris Teeter, LLC",a9cd943e-857b-4f46-a1a7-2b7379d4dd7e,2,2021-03-10,Purpose Arthritis Pain Reliever,"Uses for the temporary relief of arthritis pain ONLY in the following areas: hand, wrist, elbow (upper body areas) foot, ankle, knee (lower body areas) this product may take up to 7 days to work for arthritis pain; it is not for immediate relief. If no pain relief in 7 days, stop use",Active ingredient Diclofenac sodium (NSAID*) 1% (equivalent to 0.93% diclofenac) * nonsteroidal anti-inflammatory drug,"Inactive ingredients carbomer homopolymer Type C, cocoyl caprylocaprate, fragrance, isopropyl alcohol, mineral oil, polyoxyl 20 cetostearyl ether, propylene glycol, purified water, strong ammonia solution","Directions Use up to 21 days unless directed by your doctor. Not for strains, sprains, bruises or sports injuries.This product has not been shown to work for these types of injuries. Daily Per Dose For your arthritis pain: Use 4 times per day every day Do not use on more than 2 body areas at the same time Use ENCLOSED DOSING CARD to measure a dose For each upper body area (hand, wrist, or elbow) – Squeeze out 2.25 inches (2 grams) For each lower body area (foot, ankle, or knee) – Squeeze out 4.5 inches (4 grams) Read the enclosed User Guide for complete instructions: use only as directed do not use more than directed or for longer than directed apply only to clean, dry skin that does not have any cuts, open wounds, infections, or rashes do not apply in same areas as any other product do not apply with external heat such as a heating pad do not apply a bandage over the treated area store ENCLOSED DOSING CARD with your Diclofenac Sodium Topical Gel, 1%. The dosing card is re-usable.","Warnings For external use only. Allergy alert : Diclofenac may cause a severe allergic reaction, especially in people allergic to aspirin. Symptoms may include: hives asthma (wheezing) skin reddening blisters facial swelling shock rash If an allergic reaction occurs, stop use and seek medical help right away. Liver warning: This product contains diclofenac. Liver damage may occur if you apply: more or for a longer time than directed when using other drugs containing diclofenac Stomach bleeding warning: This product contains an NSAID, which may cause severe stomach bleeding. The chance is small but higher if you: are age 60 or older have had stomach ulcers or bleeding problems take a blood thinning (anticoagulant) or steroid drug take other drugs containing prescription or nonprescription NSAIDs (aspirin, ibuprofen, naproxen, or others) have 3 or more alcoholic drinks every day while using this product apply more or for longer than directed Heart attack and stroke warning: NSAIDs, except aspirin, increase the risk of heart attack, heart failure, and stroke. These can be fatal. The risk is higher if you use more than directed or for longer than directed. Do not use if you have ever had an allergic reaction to any other pain reliever or to a fever reducer for strains, sprains, bruises or sports injuries. This product has not been shown to work for these types of injuries. right before or after heart surgery on more than 2 body areas at the same time in the eyes, nose, or mouth Ask a doctor before use if you have problems or serious side effects from taking pain relievers or fever reducers stomach bleeding warning applies to you you have a history of stomach problems, such as heartburn you have high blood pressure, heart disease, liver cirrhosis, kidney disease, asthma, or had a stroke you are taking a diuretic you are under the age of 18 years. It is not known if this drug works or is safe in children under the age of 18 years. Ask a doctor or pharmacist before use if under a doctor’s care for any serious condition taking any other drug When using this product avoid contact with eyes, nose, or mouth if eye contact occurs, rinse thoroughly with water Stop use and ask a doctor if pain gets worse or lasts more than 21 days redness or swelling is present in the painful area fever occurs skin irritation occurs any new symptoms appear. These could be signs of a serious condition. you experience any of the following signs of stomach bleeding: feel faint have bloody or black stools vomit blood have stomach pain that does not get better you have symptoms of heart problems or stroke: chest pain trouble breathing leg swelling weakness in one part of side of body slurred speech If pregnant or breast-feeding, ask a health professional before use. It is especially important to not use this product during the last 3 months of pregnancy unless definitely directed to do so by a doctor because it may cause problems in the unborn child or complications during delivery. Keep out of reach of children If swallowed, get medical help or contact a Poison Control Center (1-800-222-1222) right away",pain reliever
614299404533,HUMAN OTC DRUG,"Cold and Flu Relief NightTime, Multi-symptom","ACETAMINOPHEN, DEXTROMETHORPHAN HBR, DOXYLAMINE SUCCINATE",ARMY AND AIR FORCE EXCHANGE SERVICE,2995adf3-44f7-4c70-bab1-2abeeebb283a,10,2020-09-11,Purpose Pain reliever/fever reducer Cough suppressant Antihistamine,Uses temporarily relieves common cold and flu symptoms: sore throat minor aches and pains fever headache runny nose and sneezing cough due to minor throat and bronchial irritation,Active ingredients (in each liquid-filled capsule) Acetaminophen 325 mg Dextromethorphan HBr 15 mg Doxylamine succinate 6.25 mg,"Inactive ingredients D&C yellow #10, edible white ink, FD&C blue #1, gelatin, glycerin, polyethylene glycol, povidone, propylene glycol, purified water, sorbitol",Directions do not take more than directed do not take more than 8 capsules per 24 hours adults and children 12 years and over: take 2 capsules with water every 6 hours children under 12 years: ask a doctor,"Warnings Liver warning: This product contains acetaminophen. Severe liver damage may occur if you take more than 4,000 mg of acetaminophen in 24 hours with other drugs containing acetaminophen 3 or more alcoholic drinks every day while using this product Allergy alert: Acetaminophen may cause severe skin reactions. Symptoms may include: skin reddening blisters rash If a skin reaction occurs, stop use and seek medical help right away. Sore throat warning: If sore throat is severe, persists for more than 2 days, is accompanied or followed by fever, headache, rash, nausea, or vomiting, consult a doctor promptly. Do not use if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. if you have ever had an allergic reaction to this product or any of its ingredients to make a child sleepy with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. Ask a doctor before use if you have liver disease glaucoma a breathing problem or chronic cough that lasts or as occurs with smoking, asthma, chronic bronchitis, or emphysema cough that occurs with too much phlegm (mucus) difficulty in urination due to enlargement of the prostate gland Ask a doctor or pharmacist before use if you are taking the blood thinning drug warfarin taking sedatives or tranquilizers When using this product do not exceed recommended dosage excitability may occur, especially in children avoid alcoholic beverages marked drowsiness may occur alcohol, sedatives and tranquilizers may increase drowsiness use caution when driving a motor vehicle or operating machinery Stop use and ask a doctor if pain or cough gets worse or lasts more than 7 days fever gets worse or lasts more than 3 days redness or swelling is present new symptoms occur cough comes back or occurs with rash or headache that lasts. These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of accidental overdose, get medical help or contact a Poison Control Center (1-800-222-1222) right away. Prompt medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms.",pain reliever
856023000264,HUMAN OTC DRUG,Medicated Pain Relief Hot,"MENTHOL, CAPSICUM EXTRACT","Kareway Product, Inc.",aca1efb8-b83b-5ae5-e053-2a95a90afa4a,2,2020-08-11,Purposes Topical analgesic Topical analgesic,Uses Temporarily relieves minor pain associated with: arthritis muscle strains simple backache bursitis cramps tendonitis muscle sprains bruises,Active ingredients L-Menthol 0.4% Capsicum Extract (0.002% of Capsaicin),"Inactive ingredients aluminum glycinate, concentrate glycerin, disodium edetate hydrate, gelatin, mentha oil, polysorbate 80, polyvinyl alcohol, polyvinylpyrrolidone, purified water, sodium polyacrylate, sodium pyrosulfite, tartaric acid, titanium oxide, tocopherol acetate",Directions Adults and children 12 years of age and older: 1 or 2 times a day. Use 1 patch at a time. Children under 12 years of age: Consult a physician.,"Warnings For external use only When using this product use only as directed do not bandage tightly do not use a heating pad avoid contact with eyes and mucous membrane do not apply to wounds or damaged skin do not use if you are allergic to any ingredients of this product Stop use and ask a doctor if condition worsens symptoms persist for more than 7 days or clear up and occur again within a few days redness is present irritation develops If pregnant or breast-feeding, ask a health professional before use Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away",analgesic
19277000675,HUMAN OTC DRUG,Olive Leaf Acne Remedy,TOPICAL SKIN RELIEF,"Vitality Works, Inc",b7c90df9-9282-4ba2-e053-2a95a90ad713,4,2020-12-31,"Olive Leaf Acne Remedy Antimonium crudum - Relieves pimples; pustular eruptions with burning and itching; eczema Calcarea sulfurica - Relieves pimples and pustules on the face and under hair Juglans regia - Relives acne; itching; pimples on face, neck, shoulder and back Sulphur iodatum - Relieves acne, itching; cold sores on lips; pustules on uppler lip","Olive Leaf Acne Remedy For the temporary relief of symptoms of acne, pimples, and cold sores. For the temporary relief of eczema, burning and itching, and skin pustular eruptions.",Olive Leaf Acne Remedy Antimonium crudum 12X Calcarea sulfurica 12X Juglans regia 6X Sulphur iodatum 30X,"Olive Leaf Acne Remedy USP Purified Water, Xylitol powder, Sodium Chloride, Olive Leaf Extract (Olea europa) 4X, Grapefruit Seed Extract, Sodium Hydroxide (for pH balance)","Olive Leaf Acne Remedy - First, thoroughly wash hands and the affected areas of the skin with warm soapy water, and rinse. Dry thoroughly. - Apply a drop to fingertip and gently apply on affected skin. - Repeat 2-3 times per day. - For best results, continue using for a least one week after syptoms disappear. - Reapply if symptoms return.","Olive Leaf Acne Remedy -Do not apply in or around eyes. This product will sting your eyes. If product should get into your eyes, rinse with warm water. -As with any drug. If you are pregnanat or nursing a baby, seek the advice of a health care professional before using this product. -In case of accidental overdose by ingestion, seek profesional assistance or contact a poison control center immediately. All the ingredients are edible. However this product is not designed for internal use.",acne
350844471161,HUMAN OTC DRUG,Naproxen Headache Pain,NAPROXEN SODIUM,"L.N.K. International, Inc.",dfc737d9-3bbd-45dc-8835-138eeb752f8c,1,2020-09-16,Purpose Pain reliever/fever reducer,Uses temporarily relieves minor aches and pains due to: headache muscular aches minor pain of arthritis toothache the common cold menstrual cramps backache temporarily reduces fever,Active ingredient (in each tablet) Naproxen sodium 220 mg (naproxen 200 mg) (NSAID)* *nonsteroidal anti-inflammatory drug,"Inactive ingredients croscarmellose sodium, FD&C blue #2 aluminum lake, magnesium stearate, microcrystalline cellulose, polyethylene glycol, polyvinyl alcohol, povidone, silicon dioxide, talc, titanium dioxide",Directions do not take more than directed the smallest effective dose should be used drink a full glass of water with each dose adults and children 12 years and older take 1 tablet every 8 to 12 hours while symptoms last for the first dose you may take 2 tablets within the first hour do not exceed 2 tablets in any 8- to 12-hour period do not exceed 3 tablets in a 24-hour period children under 12 years: ask a doctor,"Warnings Allergy alert: Naproxen sodium may cause a severe allergic reaction, especially in people allergic to aspirin. Symptoms may include: hives shock rash blisters skin reddening facial swelling asthma (wheezing) If an allergic reaction occurs, stop use and seek medical help right away. Stomach bleeding warning: This product contains an NSAID, which may cause severe stomach bleeding. The chance is higher if you have had stomach ulcers or bleeding problems are age 60 or older take a blood thinning (anticoagulant) or steroid drug take more or for a longer time than directed take other drugs containing prescription or nonprescription NSAIDs [aspirin, ibuprofen, naproxen, or others] have 3 or more alcoholic drinks every day while using this product Heart attack and stroke warning: NSAIDs, except aspirin, increase the risk of heart attack, heart failure, and stroke. These can be fatal. The risk is higher if you use more than directed or for longer than directed. Do not use if you have ever had an allergic reaction to any other pain reliever/fever reducer right before or after heart surgery Ask a doctor before use if the stomach bleeding warning applies to you you are taking a diuretic you have a history of stomach problems, such as heartburn you have high blood pressure, heart disease, liver cirrhosis, kidney disease, asthma, or had a stroke you have problems or serious side effects from taking pain relievers or fever reducers Ask a doctor or pharmacist before use if you are under a doctor’s care for any serious condition taking aspirin for heart attack or stroke, because naproxen may decrease this benefit of aspirin taking any other drug When using this product take with food or milk if stomach upset occurs Stop use and ask a doctor if you experience any of the following signs of stomach bleeding: feel faint vomit blood have bloody or black stools have stomach pain that does not get better you have symptoms of heart problems or stroke: weakness in one part or side of body leg swelling chest pain slurred speech trouble breathing pain gets worse or lasts more than 10 days you have difficulty swallowing any new symptoms appear fever gets worse or lasts more than 3 days it feels like the pill is stuck in your throat redness or swelling is present in the painful area If pregnant or breast-feeding, ask a health professional before use. It is especially important not to use naproxen sodium during the last 3 months of pregnancy unless definitely directed to do so by a doctor because it may cause problems in the unborn child or complications during delivery. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away.",pain reliever
639277215208,HUMAN OTC DRUG,Pain Relief Extra Strength,ACETAMINOPHEN,"GREENBRIER INTERNATIONAL, INC.",79eeeb3e-ee70-45ba-8319-32e743e55dfe,12,2021-05-17,Purpose Pain reliever/fever reducer,Uses temporarily relieves minor aches and pains due to: headache the common cold backache minor pain of arthritis toothache muscular aches premenstrual and menstrual cramps temporarily reduces fever,Active ingredient (in each gelcap) Acetaminophen 500 mg,"Inactive ingredients croscarmellose sodium, D&C red #33, FD&C blue #1, FD&C red #40, gelatin, hydroxypropyl cellulose, hypromellose, iron oxide black, iron oxide red, iron oxide yellow, polyethylene glycol, povidone, pregelatinized starch, propylene glycol, shellac glaze, stearic acid, titanium dioxide","Directions do not take more than directed adults and children 12 years and over take 2 gelcaps every 6 hours while symptoms last do not take more than 6 gelcaps in 24 hours, unless directed by a doctor do not take for more than 10 days unless directed by a doctor children under 12 years: ask a doctor","Warnings Liver warning: This product contains acetaminophen. Severe liver damage may occur if you take more than 4,000 mg of acetaminophen in 24 hours with other drugs containing acetaminophen 3 or more alcoholic drinks every day while using this product Allergy alert: Acetaminophen may cause severe skin reactions. Symptoms may include: skin reddening blisters rash If a skin reaction occurs, stop use and seek medical help right away. Do not use if you are allergic to acetaminophen or any of the inactive ingredients in this product with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. Ask a doctor before use if you have liver disease. Ask a doctor or pharmacist before use if you are taking the blood thinning drug warfarin. Stop use and ask a doctor if pain gets worse or lasts more than 10 days fever gets worse or lasts more than 3 days new symptoms occur redness or swelling is present These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of accidental overdose, get medical help or contact a Poison Control Center (1-800-222-1222) right away. Prompt medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms.",pain reliever
